CustomerID,Name,Email,Phone,Address,Age,Gender,PurchaseHistory,LoyaltyPoints
20,William Decker,kleinabigail@wright.net,801.612.7652,"032 Cunningham Light Apt. 497, Lake Melissamouth, ME 07109",35,Female,"['Cortinie Bianco', 'À Côté Santa Barbara Highlands Vineyard South Mesa', 'Cepparello', ""Noblesse d'Or Vintage Brut"", 'Melanson Vineyard', 'Cuvée Los Gatos', 'Cuccio']",665
21,Nicholas Owens,tyler48@herrera-banks.com,4307893903,"71102 Young Manor Suite 491, East Samantha, NJ 43015",31,Female,"['Merlot-Cabernet Sauvignon-Cabernet Franc', 'Campo Inferi Riserva', 'Bancroft Ranch', 'Proyecto Cu4tro', 'Mas Cavalls Doña Margarita Vineyard', 'Parcela El Nogal', 'Terra di Vulcano', 'Touriz', 'Vinho Blanco']",738
22,John Johnson,kbryan@smith.info,(921)063-2597x418,"USS Hernandez, FPO AA 43350",36,Male,"['North Coast', 'Gotes del Montsant', 'Cuvée Réservée Rosé', 'Joyau de France', 'Viña Rubican Crianza', ""D'Amare"", 'Uniti Red', 'Froi']",344
23,Jonathan Curry,kking@clark-swanson.biz,+1-691-722-3232,"2551 Diamond Lock, Nelsonbury, OR 88386",43,Male,"['Solalto', 'Cyrus']",98
24,Michael Clark,sarahowen@hotmail.com,172.595.6071x72002,"PSC 3231, Box 3145, APO AA 41865",52,Male,"['Elcione', 'Parcel Thirty One', 'Grand-Portail Cuvée Réservée', 'Clos Saint Jean Premier Cru']",84
25,Danielle Barnes,colleen54@yahoo.com,(283)001-1187,"USS Williams, FPO AE 68023",67,Male,"['Varietales', 'Amanzio', 'Hand Picked Single Site Tri-Centenary Vineyard Vine Vale', 'Gloeckelberg Grand Cru', 'Reserve Red', 'Savitar', 'Les Criots Premier Cru', 'Dijon Cuvée Estate', 'Riserva del Don']",387
26,Sheena Bradley,williamsalexander@gmail.com,677.588.6314x939,"25230 Destiny Drive, South Johnny, TX 56869",39,Male,"['Marqués de Badajoz El Marqués Dulce', 'Reserve du Domaine']",142
27,James Rocha,knightcody@chase.com,068.297.4176,"343 White Rapids Suite 862, Mitchellton, DE 03518",24,Female,"['Samorëns', 'Collaboration Series II Ciel du Cheval Vineyard Red Wine', 'Rerum 500 ml']",69
28,Craig Martinez,montgomerychristian@parker.net,(137)561-1289x3645,"601 Vasquez Mall Apt. 614, New Christopher, OR 56711",61,Female,"['Historias Passito de los Andes', 'Brut Impérial Rosé']",76
29,Amanda Meyer,vargasmonique@hotmail.com,(772)207-6913,"USCGC Hull, FPO AP 62609",48,Female,"['Stone Tree Red', 'Pop', 'JB Winemaker Series']",48
30,Justin Irwin,harrisamber@gonzalez.com,432.822.1908,"35684 Harold Ways Suite 080, Anthonyburgh, TX 31850",34,Female,"['5 Grammi Brut', 'Organic Grapes']",138
31,Mario Hudson,michael34@kelley.com,(057)593-4498,"439 Nicholas Glen Suite 395, Davidside, MS 40959",54,Male,"['Capdevila Pujol Reserva Especial Brut Natural', 'Pian Scorrone', 'Reserve Coyote Canyon Vineyards', 'Valeriano', 'Signal Rock']",55
32,Sean Carroll,walter11@hotmail.com,+1-887-438-0935,"79144 Parks Inlet, West Leslieton, VA 29627",44,Male,"['Platinum', '180 degree', 'Beckstoffer Vineyards Clone Six', 'Podere Cariano', 'Quinta da Murta Classico']",320
33,Janice Green,christophergolden@clarke-olson.biz,(813)343-9033x3307,"99535 Amanda Inlet, Gravesshire, KS 23733",51,Female,"['Bio-571', 'Bien Nacido Vineyard Block UU', 'Cinsaut Stone Tree Vineyard']",240
34,Katherine Dickerson,francesmorton@thomas.org,001-082-534-8704,"15868 Phillips Pines Suite 000, Vincenthaven, KY 39077",42,Female,"[""Rhett's Revenge""]",53
35,Jasmine Chandler,benjaminwong@thornton.com,681.748.3999x2871,"26357 Hughes Bypass Suite 242, New Andrewtown, WI 47884",68,Male,"['La Cabanne aux Oiseaux', 'The Blend', 'Generous Mohr-Fry', 'Zagal']",80
36,Alicia White,jasongonzalez@anderson-frey.info,750-893-2111,"462 Adams Squares Apt. 375, Wardberg, AZ 47250",36,Male,"['Mediterranean White', 'San Giovanni', 'Carodorum Issos', 'Bell Mountain Vineyard', 'Sequence', 'Equinox Vineyard', 'Piesporter Goldtröpfchen GG Trocken', 'Circumstance']",528
37,Sheila Moore,melissamartin@robinson.com,778.988.9020x810,"46440 Mcdowell Oval, New John, MA 32091",32,Female,"['Electrum', 'Enzo Bianchi', 'Haidviertel', 'Marly Domaine Hamelin', 'Rincon VIneyard', 'Paul Sauer', 'Le Petit Paon']",455
38,Joseph Johnson,kristen63@gmail.com,057-954-8384x203,"63821 Bray Mountain Suite 343, Port Steven, HI 94709",57,Male,"['Valdehermoso Crianza', 'Rock Solid Red', 'The Zin', 'Rosato Merlot Mudd Vineyard']",372
39,Andrew Thomas,mthomas@morales.org,(032)848-8213x596,"1944 Black Mill, Sherryport, NM 95661",43,Male,"['Finca', 'Pagnano Vineyard', 'Oracle Vineyard']",213
40,Jennifer Poole,kingtraci@welch.com,+1-784-696-9350x7972,"8649 Moreno Falls Suite 968, Jefferyburgh, NH 55974",62,Female,"['Riserva Vigna di Fontalle', 'The Wolftrap Syrah Mourvèdre Viognier']",142
41,Joe Smith,kaitlyn65@gmail.com,001-530-403-0315x5255,"3174 Garcia Avenue Apt. 700, Walkerfort, CT 02059",28,Female,"['BFM Red', 'Dancing Bull', 'Late Harvest Lot 1', 'Beyra Reserva', 'Millésimé Brut']",410
42,Rachel Alvarez,stephen60@vega-parsons.com,798.124.7372,"70277 Thompson Shoals, Danamouth, MD 03004",37,Female,['Fairbairn Ranch'],44
43,Mary Murphy,oharris@moreno-clayton.com,334.701.8125,"85860 Ryan Well Suite 176, Patrickfurt, MO 12839",33,Male,"['Special Edition Tawny', 'Beespoke', 'Nelson Vineyards', 'Valley Cuvée']",328
44,Christian Morgan,johnsonbrandi@gmail.com,+1-655-475-9829x1462,"6816 Leonard Islands, East Kaylaland, VA 84346",61,Female,"['Premier Cru Bouchères', 'Bernkasteler Kurfürstlay Auslese', ""Cote d'Avila"", 'Frizzante Gentile', 'Insolite', 'Passionelle', 'Uvaggio Storico Dry', 'Rondineto', 'Cerasio']",117
45,Brian Johnson,turnerleon@flores-wagner.com,(782)507-9044,"285 Michael Hollow, West Kenneth, TX 09552",68,Male,"['Vigna Garzon', 'Shellback', 'Benito A Gran Reserva', 'Frog Prince', 'Reserve West Dry Creek', 'Don Nicanor Blend']",336
46,Desiree Davis,spencetyler@gray-mccarthy.info,(791)895-4648x04109,"88307 Obrien Dam Suite 622, Carrollborough, VA 01584",41,Male,"['Lot 707 Reserve', 'Oley Late Harvest Sweet', 'Frontignac']",171
47,Jeffrey Lopez,mariathompson@hotmail.com,304-277-1684x03554,"3141 Trevor Corners, New Darius, NE 23008",50,Female,['Bin 51'],57
48,Taylor Jones,lynnreed@gmail.com,+1-291-815-9535x85918,"PSC 0933, Box 2867, APO AE 25659",57,Female,"['Belle Côte', ""Ancient Vine Angelica Marcelina's Vineyard"", 'Evinos', 'Saturnino Rosato', 'Parcel 41', 'Jackson Estate Camelot Highlands']",246
49,Jill Scott,leonkennedy@hotmail.com,145.085.3800,"731 Nicole Rue Apt. 937, Cathyborough, CT 16618",34,Female,"['Andreas Wallula Vineyard', '3055', 'Bendigo Estate Vineyard', 'Oniric', 'Violino', 'Riserva Vigna del Capannino', 'Gamma: The Complex', 'NBNC = No Branding No Cry', 'Gwin']",513
50,Christine Costa,harrisanna@johnson.biz,001-325-192-4493x7244,"75749 Smith Lake Suite 502, Susanberg, IL 19189",30,Male,"['Biancosesto', 'Peters Vineyard', 'Le Petit Diable', 'Liante']",84
51,Anthony Huffman,matthewvargas@yahoo.com,417-671-6383,"122 Rebecca Pike, Lake Heather, DC 11540",58,Female,"['Primi', ""Torre d'Orti Pastoria"", 'Riserva Doccio a Matteo', '1772 Edna Ranch']",156
52,Amanda Fitzgerald,robin35@everett.com,+1-841-166-1085,"0833 Aaron River Apt. 839, Feliciaport, WI 91232",63,Female,"['Intrinity', 'Latria', 'Rubioso']",252
53,Tanya Hart,james97@hotmail.com,689-262-4777x771,"212 Jessica Lane, East Michael, NH 47611",51,Female,"['Presidential Late Bottled Vintage', 'Le Cloître de Sainte Roseline', 'No. 7 Sonoma Collection', 'Dijon Clone Selection', 'Tenuta Rocca dei Leoni', 'Altezza', 'Acclivi']",84
54,Lindsay Williams,kfinley@gmail.com,(036)372-3689,"2726 Thomas Course, Darrellport, NV 68409",68,Male,"['Les Azerottes', 'CMS White', 'Reserve Assemblage Carmenère-Syrah-Cabernet Sauvignon', 'Domaine de la Seigneurie']",220
55,Shannon Reese,deborahross@alvarado.com,671.736.3899x462,"291 Sarah Motorway, New Dawn, ME 54019",50,Female,"['Finisterre', ""Borghi D'Elsa"", 'Le Rosé Gourmand de Lestruelle']",126
56,Jodi Whitney,christopher83@hotmail.com,001-942-815-1653x667,"4409 Ortiz Knoll, South Christopher, AL 75487",38,Male,"['Alder Ridge Vineyard La Montagnette', 'Horse Heaven Hills', 'Momentos Reserva', 'Estate Grown Redwood Retreat Vineyards', ""Richard's Cuvée"", 'Three Creek Vineyard', 'Little Lotus Flower']",147
57,Tammy Ferguson,ybarnes@gmail.com,+1-206-048-0283,"PSC 5844, Box 7493, APO AA 06985",66,Female,"['The Boy', 'Grand Cru Heimbourg Turckheim Vendange Tardive']",154
58,Jason Mullins,anthony18@cohen.com,(947)567-4505,"932 Colin Squares, Brownshire, OH 13610",56,Male,"['Corton-Charlemagne', 'Triangle Block Day Ranch', 'Rubric Sonoma Reserve', 'S.L.V.', 'Kopar', 'Rapsani Reserve', 'Cerro Prieto', 'Diga? Branco', 'Domaine Mas Thérèse']",567
59,Kevin Zavala,alexander45@fowler.com,+1-506-930-6658x94311,"764 Gregory Divide, New Stephen, ID 07065",66,Male,['Cuvée Alden Private Reserve'],16
60,Andrew Howe,martinmatthews@gill.com,724.123.8441x7914,"23324 Brianna Viaduct Suite 269, Port Tracy, PA 55421",47,Female,"['Spätlese', 'Castell de Raimat', 'Rough Justice Red', 'Hofstatt', 'Mineral Dry']",325
61,Thomas Davis,pattersonjessica@hotmail.com,339-587-9862x35894,"95544 Brown Shoals, North Stephaniefort, LA 24321",31,Female,"['Red Willow Vineyard Clonal Block', 'Loibner Steinertal Smaragd', 'Viña Pedro Gonzalez', 'Les Vignots', 'Mille e Una Notte', 'Punggl']",528
62,Michael Collins,melissapatterson@dodson-pugh.com,(440)103-2605x5908,"923 Catherine Path, Toddchester, MT 48200",52,Male,"['H Vieilles Vignes', ""Cilla's Blend Three Creek Vineyard"", 'Lot 335', 'Estate Luminesce Seven Hills Vineyard', 'Terra de Fic 1', 'Blanc de Blancs Bruto', 'Dominio de Heredia', 'Les Clousots']",528
63,Kimberly Chen,ianderson@hotmail.com,(096)606-0715x6223,"0479 Ramsey Summit Suite 082, Lake Jacob, VA 60909",38,Female,"['Uma', 'Black Tongue', 'Ultra', 'Rosé de Soirée', 'Veraison']",260
64,Joseph Miller,allison69@yahoo.com,+1-242-024-8310x2719,"5049 Martinez Falls, Freemanberg, VA 79282",66,Male,['Reserva Private Selection'],66
65,Jaclyn Phillips,hansonscott@brown.biz,876-017-6694x91105,"PSC 1171, Box 0262, APO AE 33891",49,Female,"['Bryan Creek Vineyard', 'Zios', 'Dos Ranchos', 'Olive Hill', 'Château des Muraires Séduction', 'II Crianza']",324
66,Sarah Marks,gabbott@hotmail.com,720-997-1730x23058,"3419 Ryan Well, Port Joanshire, AR 02784",31,Male,"['DuBrul Vineyard Red', 'Gran Premio Three Creek Vineyard', 'Colección Vivanco 4 Varietales Tempranillo-Graciano-\xadGarnacha-Mazuelo', 'La Florencia', 'Mouton Cadet Réserve']",375
67,Ms. Jamie Walls,vparker@gmail.com,001-325-177-4192,"2105 Mcdonald Shore, Williamhaven, CA 42671",65,Female,"['Single Berry Select Botrytised', 'Blanc de Pacs Organic Farming Parellada-Xarel-lo-Macabeu', 'Enigma', 'Le Grand Cros La Maîtresse Rosé Brut', 'Am Hohlgraben', ""Verna's Estate""]",90
68,Fernando Reynolds,littlematthew@gmail.com,271-635-6300x429,"832 Martin Courts, Watkinshaven, CO 31956",68,Male,"['Alluvial', 'Alban Vineyard', 'Brut Kosher Mevushal', 'Champimonts Premier Cru']",136
69,Darren Houston,ferrelljesse@yahoo.com,313.136.4048x226,"70510 Wilson Underpass Apt. 733, Lake Michael, TX 08175",65,Female,"[""Lia's Vineyard Unfiltered""]",20
70,Jason Chandler,williamsjames@gmail.com,+1-495-775-5549,"084 Good Road, Tylerton, LA 13484",68,Female,"['Himmelsrech Dirmsteiner Mandelpfad Spätlese Trocken', 'Latium', 'Colección Vivanco Parcelas de', 'Domaine Rémy']",268
71,Kelly Garza,taylorjoy@hancock-sawyer.biz,001-028-655-0764,"558 Peters Run, East Davidstad, IL 27834",39,Male,"['Iberia Cream', 'Cuvée Zaccharie', 'Baronne de Siaurac', 'Rattlesnake Rock']",276
72,Gerald Vazquez,vrivera@hotmail.com,(607)107-9190x522,"5621 Samuel Fords, Veronicaview, ME 13836",59,Female,"['Mezzan', 'Chemin de Fleurs', 'Les Chardouillonne', 'Steiner Kögl Reserve', 'Espérance Pic Saint-Loup', 'Johannisberg Wallhausen Trocken GG', 'Riserva Grandi Annate']",651
73,Shannon Mcdonald,haileynguyen@yahoo.com,363.915.5640,"USS Buckley, FPO AP 23827",47,Male,"['A2O', 'Cutthroat Red', 'Cuvée Pom', 'Kammerer Heiligenstein', '3 Stones Niederhäuser Dry', 'Sallier de la Tour La Monaca', 'Lavaux Saint-Jacques Premier Cru']",231
74,Amanda Molina,kristinesantiago@yahoo.com,001-609-063-9118x4437,"670 Barnes Plaza, Port Pamelaberg, WI 42707",55,Male,"['Bergfeld', 'Uber Rhenish Kenwara Vineyard Dry']",174
75,Cynthia Carter,danielharrison@sanford-thomas.net,001-714-597-6574,"80619 Mary Mountain Suite 937, Moyerville, IA 99727",35,Female,"['Genèse', 'Late Harvest', 'Undone Dry']",201
76,Jack Moran,lambertashley@gill-mcneil.com,437.875.2804x873,"258 Brad Square, New Donald, UT 64167",26,Male,"['Chateau Neuf du Pink', 'ia', '88 Revel Family Vineyard', 'Moscato Rosa 500ml']",160
77,Karla Martin,carolynlarson@bell-marquez.com,189-410-4350x9017,"46023 Frye Parkways, Port Sophia, FL 66079",65,Female,"['Domaine Gérard Fiou', 'Domaine Grand Veneur Blanc de', 'Slice of Pape Red', ""Vigneti Sant'Helena"", 'Love', 'Clos de Torribas Crianza', 'Big Sissy Conner Lee Vineyard', 'Famega', 'Jours de Bonheur']",513
78,James Barnes,smithlindsay@bush-carter.com,992-670-1535x05565,"242 Shawn Underpass Apt. 040, Kaufmanchester, WA 57854",67,Female,"['Mas Donis Rosat', 'Les Clans', 'Sanguinetti Vineyard', 'Contrada R', 'Leonia Rosé Metodo Classico', 'Gran Reserva']",318
79,John Lane,nicole99@owens.biz,001-287-381-8075x354,"88859 Ferguson Glens, Jonesside, WV 04028",23,Female,"['Raepheus', 'Dijon Clones Ramal Vineyard']",126
80,Brandon Cunningham,jacquelinecox@hotmail.com,400-836-1067,"72999 Owens Station, Allenville, AZ 28604",63,Male,"['Il Poggiale Riserva', 'Page Nord Vineyard', 'Petresco Riserva', 'Barcarato', 'La Tour Chambert', 'Goosepen Block']",216
81,Ruth Rocha,jenniferharris@gmail.com,(154)130-5779x5379,"42864 Howard Dale Apt. 030, North Sara, IN 44066",63,Male,"['Altura', 'Late Disgorged Brut', 'Five Vineyards Icewine', 'Riserva la Forra', 'Yellow Hammer Hill', 'Renaissance Vendanges Tardives', 'Brut Reserva Made with Organic Grapes']",532
82,John Watson,connor05@hopkins-miller.com,446-051-4015x8910,"356 Williams Points Suite 923, West Mariahshire, OH 89318",38,Female,"['Windacre Vineyard Estate', 'The Garage', 'Shymer', 'Bonesetter', 'Single Wheel Dry', 'Luvisi Vineyard', 'Rivus']",623
83,Anna Callahan,teresa93@pollard-smith.biz,(426)014-4737x6192,"4889 Kerr Wells Suite 486, South Anthonyland, AZ 97331",25,Male,"['Camilla', 'Cuvèe Brut', 'Cuvée Christine', 'Aliança Foral', 'Collaboration Series V Ciel du Cheval Vineyard']",380
84,Melody Frazier,michael91@holmes-bernard.com,523-134-6250x73476,"89435 Kathleen Centers Suite 865, Martinchester, DC 53296",55,Female,"['Brut Millesimato Blanc de Blancs', 'DeRose Vineyard', 'G.A.M.', 'Cent-Vignes Premier Cru']",388
85,Lisa Ramirez,ryan82@cross.com,001-171-979-0099x8818,"8573 Timothy Curve, West Austin, OR 07530",64,Male,"['Violetta', 'Mouton Cadet', 'Celebris Vintage Extra Brut', 'Millesimato Selezione Banda Rossa', 'McKinley Springs Vineyard', 'Old Ghost', 'Brut Souverain']",371
86,Michelle Anthony,jenniferphillips@gmail.com,+1-314-611-4387x968,"1475 Kristy Crest Suite 453, Jessicaland, WA 84877",27,Male,"['Castello di Spaltenna', 'CC & CP', 'Kindred', 'Harvester Red', 'Classic Extra Dry']",225
87,William Finley,ssutton@bradley.com,034-147-2200x33256,"06706 Lisa Bypass Apt. 555, Amychester, ID 78124",42,Male,"['Buckeye Vyd', 'The Oddball', 'Villa Santera', 'Bin 92']",312
88,Christopher Jackson,aroberts@brown.com,036-185-2959x883,"525 Miranda Park Apt. 661, Lake Rebeccamouth, IL 21190",43,Female,"['Silverwood Vineyard', 'Protocolo Tinto', 'Tierra Alta Vineyard']",135
89,Carol Miller,williamsdonald@bass-meyers.com,0656595582,"7108 Chambers Shores Suite 766, Joshuaton, PA 26406",26,Male,['Catena Nicasia Vineyard'],43
90,Billy Foster,tnielsen@hurst-golden.info,340-996-0609,"196 Kayla Hill, Davischester, NH 91912",22,Female,"['Inspiratto from the Andes Reserve', 'Partida Bellvisos', 'Scharlachberg Bingen Auslese']",45
91,Craig Miller,charles98@murphy-davis.com,001-797-625-2733x6064,"22544 Marshall Station, Lake Matthew, MN 25769",24,Female,"['Les Comtes de Cahors', 'Duque de Medina Crianza Old Vine', 'Ballard Canyon Estate', 'Cluster Select Late Harvest', 'Casillero del Diablo Reserva', 'Cuvée Francis Courselle', 'Castelli-Knight Ranch Vineyard', 'Serra della Contessa']",512
92,Ashley Martinez,xpitts@gmail.com,001-447-695-1159,"162 Jennifer Terrace Apt. 537, Port Brandon, OR 99727",33,Female,['Cuvée Larsinos'],96
93,Tyler Reid,taylor40@pruitt.net,(234)236-9130,"USNV Olsen, FPO AE 57630",59,Female,"['Vers les Monts', 'Andante Prestige Gewürztraminer-Muscat', 'Opera 02 Amabile', 'Stone Cutting Unwooded']",60
94,Kenneth Robinson,rebecca42@williams-white.info,(383)910-4789,"50915 Frank Roads, Englishfort, MS 94622",68,Female,"['Parinacota Limited Edition', 'La Palma', 'Le Barche Cru Monte Tenda', 'Archimedes', 'Referencia Grand Reserva']",250
95,Julie Douglas,williamskathleen@brown.net,001-555-117-6330,"357 James Ramp, East Beverlyland, NJ 26846",46,Male,"['Cabernet Sauvignon X', 'Reserve Vieilles Vignes Unfiltered', 'Premium Cuvée Brut', ""L'Héronde"", 'Nierstein Rehbach Spätlese']",165
96,Sonya Baldwin,bkim@hotmail.com,981.448.5551x98367,"954 Tami Walks Suite 603, Port Tanyafort, ME 64484",40,Female,"['Serègo Alighieri', 'Terra di Covignano Riserva']",132
97,Sara Brown,baxterjacqueline@wong.com,(183)323-7462x941,"6209 Christina Stravenue Suite 461, Port Scott, LA 10913",35,Female,"['Naturel Sparkling Wine', 'The Immigrant', 'Le Corti Marsiliana', 'Pioneer Block 4 Sawcut', 'Vallée des Jardins', 'Bienenfresser Zweigelt Bärnreiser', 'Una Rosa Signature', 'Epilegmenos Reserve']",168
98,Kevin Walton,joseph65@yahoo.com,001-501-262-4151,"8666 Matthew Court, Lauraside, NC 64597",55,Female,"['Ridge Ranch', 'Grand-Portail Cuvée Réservée', 'Ireos', 'Spécial Club Premier Cru Blanc de Blancs Brut', 'Domaine Long-Depaquit Vaudésirs Grand Cru', 'Starkey Hill', 'DFJ Caladoc/Alicante Bouschet']",644
99,Mitchell Wells,myerscorey@gonzalez.com,4011821729,"Unit 2060 Box 4633, DPO AP 34390",28,Female,"['Beerenauslese', 'Ansela Van de Caab', 'Clos de la Croix de Pierre', 'Pine Mountain-Cloverdale Peak', 'Bordón Crianza', 'San Leopoldo', 'Coastal Selection']",672
100,Michael Phelps,holiver@bradley.com,(867)731-4983,"2933 Dustin Inlet, West Taylorview, SD 00599",64,Male,['Eight Songs'],30
101,Carla Matthews,qlawrence@williams.com,+1-283-579-8073x62610,"03519 Stone Springs, Lake Kelsey, CT 05184",46,Female,"['Strale', 'Le Rêve Blanc de Blancs', 'Rohrendorfer Thalland', 'Château la Tour de Bief Claude de la Tour', 'Calanìca Grillo-Viognier', 'Las Hermanas Vineyard', 'The Mayor', 'Broglio Riserva', 'Fratta']",801
102,Danielle Peters,smithmary@jackson.com,+1-339-163-6564x206,"60420 Mitchell Streets, West Brandon, IL 64898",23,Female,"['Castello di Montespertoli Riserva', 'Rarita', '30 Anos White']",162
103,Mary Castillo,williamsscott@hotmail.com,(098)929-1083x079,"06921 Mary Unions, New Tiffanymouth, NC 49701",43,Female,"['Otoño', 'Serie Terra Spakling']",180
104,Jennifer Flores,patrick90@gmail.com,001-788-527-7873,"14202 Adam Heights, New Michaelmouth, CT 59430",58,Female,['Kent Ritchie Vineyard'],82
105,Patricia Murphy,andrewberry@schwartz.org,001-745-789-9387x41578,"35419 Sara Mall Suite 833, New Brandonhaven, TN 87795",59,Male,"['DAC', 'Rüdesheimer Berg Rottland Spätlese Feinherb']",84
106,Lauren Jensen,christopher73@cooper.com,001-762-049-4633x088,"Unit 4581 Box 3804, DPO AP 39666",55,Male,"['Sprezzatura', 'Campania Rosso', ""Rosemary's Vineyard"", ""Shannon's Reserve"", 'Selected Harvest', 'Julia Kemper']",282
107,Maria Reed,brian69@roberson.com,2271587993,"80997 Catherine Avenue Apt. 885, East Thomasport, AR 82437",43,Female,"['Yasmin', 'Coltri 2', 'Juel']",108
108,Jeffrey Johnson,kevin24@oconnor-duncan.org,129.781.5223x193,"19529 Hicks Hills Apt. 931, Stevenburgh, MI 40699",59,Female,"['Quinel Single Vineyard Estate Bottled', 'Estate Dry QbA']",60
109,Phillip Silva,kevinscott@nolan.net,767.932.5500x01045,"29173 Bruce Dam, Caitlynchester, ME 93221",29,Female,"['Clos des Varoilles Vieilles Vignes Premier Cru', 'Le Dix de Los Vascos', ""Rockin' One"", 'Reserve Bovet', 'Noe Muy Viejo']",80
110,Robert Larson,theresasavage@pratt.com,+1-337-371-4694x7514,"43103 Greene Bypass, Thompsonborough, ND 34331",51,Female,"['Notre Terre', 'MIllesimato Brut Il Vino dei Poeti', 'Vindegard', 'Mas La Plana', 'Elevé en Fûts de Chêne']",410
