fake_name,point,Work_accident,mission,satisfaction_level,promotion_last_5years,last_evaluation,impact,Department,level,somebody,left,research,average_montly_hours,xy,camera,number_project,time_spend_company,from,significant,fake_date_of_birth,his,fake_zipcode,fake_misc,fake_surname,salary,xyz,me
Rachel,0.9079660279272145,0.0,-1.592393121065956,0.54,0.0,0.53,0.03,Inventory Management,1.4921577529747523,0.91,0.0,-0.18129133776582682,245.0,'day',0.07,4.0,2.0,0.91,27971,1955-06-14,-1.4921577529747523,43993,'big',Williams,low,business,1.4921577529747523
Steven,0.4127744939012109,0.0,-1.5776011472980578,0.6,0.0,0.62,0.03,Sales,nan,-0.41,0.0,nan,165.0,'meet',0.07,5.0,2.0,-0.41,28926,2007-06-18,-1.7639353624399243,32826,'lose',Boyd,medium,majority,1.7639353624399243
Keith,0.3897706022559617,0.0,-2.5769968984912013,0.2,0.0,0.72,0.03,Inventory Management,2.649772957168425,0.39,0.0,nan,224.0,'through',0.07,6.0,4.0,0.39,27444,1981-02-03,-2.649772957168425,55878,'wind',Wallace,medium,specific,2.649772957168425
Elizabeth,0.6833716949123578,0.0,-1.1616104523775956,0.84,0.0,0.86,0.03,,1.3814004533402555,-0.68,1.0,0.8238989028569946,240.0,'ball',0.07,5.0,5.0,-0.68,14864,2000-01-13,-1.3814004533402555,37932,'focus',Washington,medium,civil,1.3814004533402555
James,0.38305825539679306,0.0,-0.47201053080315186,0.43,0.0,0.51,0.03,,0.4175025905109555,0.38,0.0,-0.13468138301568378,168.0,'pay',0.07,5.0,4.0,0.38,26707,2000-05-07,-0.4175025905109555,63533,'become',Hernandez,medium,collection,0.4175025905109555
Jonathan,1.1053992325869377,0.0,-0.764811445668772,0.43,0.0,0.53,0.03,Sales,1.0521915787529261,-1.11,1.0,1.008176107398001,152.0,'plant',0.07,2.0,3.0,-1.11,24287,1943-01-30,-1.0521915787529261,70382,'southern',Alexander,medium,picture,1.0521915787529261
Linda,0.1739285635704999,0.0,nan,0.67,0.0,0.85,0.03,Inventory Management,2.0328361286557692,-0.17,0.0,0.6711828219064361,153.0,'watch',0.07,3.0,4.0,-0.17,21333,1984-08-07,-2.0328361286557692,71639,'focus',Lawson,low,anyone,2.0328361286557692
William,0.46705379188813656,0.0,-2.28898395886542,0.9,1.0,0.78,0.03,Inventory Management,nan,0.47,0.0,0.3348858843223151,215.0,'where',0.07,5.0,3.0,0.47,10232,1934-05-05,-2.3273230211328118,40539,'drive',Le,low,international,2.3273230211328118
Gary,0.8349497637262722,0.0,-0.9303747236976943,0.88,0.0,0.6,0.03,Inventory Management,1.169014603696324,-0.83,0.0,0.8642430585001496,162.0,'resource',0.07,4.0,2.0,-0.83,10441,1991-03-10,-1.169014603696324,37733,'easy',Mendez,low,prove,1.169014603696324
Kevin,1.077354486254239,0.0,1.019732319982361,0.73,0.0,0.62,0.03,,-1.3165996444528498,1.08,0.0,-1.0625031624759753,218.0,'another',0.07,3.0,3.0,1.08,22178,1975-08-21,-1.3165996444528498,86315,'six',Moore,medium,each,1.3165996444528498
Kayla,0.1323211623432493,0.0,-1.8148113095436702,0.09,0.0,0.83,0.03,Sales,1.9546098777518814,-0.13,1.0,nan,255.0,'true',0.07,6.0,4.0,-0.13,27938,1945-09-26,-1.9546098777518814,01738,'social',Reid,low,spend,1.9546098777518814
Jessica,0.8234209392763688,0.0,-0.8456131143018873,0.25,0.0,0.72,0.03,Marketing,0.7181054495998749,0.82,0.0,-0.3387426189745285,279.0,'boy',0.07,5.0,8.0,0.82,20118,2007-10-31,-0.7181054495998749,63394,'once',White,low,glass,0.7181054495998749
Lisa,1.8583696518768198,0.0,0.23383826367032076,0.88,0.0,0.5,0.03,,-0.6526356834635485,1.86,0.0,-1.388510810343235,142.0,'evidence',0.07,3.0,3.0,1.86,25443,1917-12-08,-0.6526356834635485,12123,'money',Drake,low,why,0.6526356834635485
Matthew,1.256430103987407,0.0,-0.38556172334313327,0.58,0.0,0.82,0.03,Sales,0.6826198109248057,-1.26,0.0,1.0050180131664135,268.0,'blue',0.07,4.0,3.0,-1.26,21018,1915-12-23,-0.6826198109248057,81374,nan,Gregory,medium,night,0.6826198109248057
Lisa,0.5709920952754863,0.0,-1.4102307199724424,0.46,0.0,0.4,0.03,Customer Service,1.6207661091566787,-0.57,0.0,0.8164695877065852,145.0,'move',0.07,3.0,2.0,-0.57,19702,1944-10-14,-1.6207661091566787,09856,'focus',Cain,medium,then,1.6207661091566787
Hunter,1.0688063342906677,0.0,nan,0.43,0.0,0.52,0.03,,0.8380677494916644,-1.07,1.0,0.9255875025593352,139.0,'discuss',0.07,2.0,3.0,-1.07,10952,1927-11-10,-0.8380677494916644,57787,'here',Robinson,low,mind,0.8380677494916644
Kristopher,1.2638912912337872,0.0,-2.9223786289421216,0.95,0.0,0.54,0.03,Sales,2.82601652788086,1.26,0.0,-0.04678372190339751,180.0,nan,0.07,4.0,5.0,1.26,11855,2013-08-31,-2.82601652788086,60134,'none',Parker,high,group,2.82601652788086
Emily,2.1161322517357846,1.0,0.7415514315252723,0.5,0.0,0.64,0.03,,-0.3263057433566874,-2.12,0.0,1.2875437332798203,257.0,'huge',0.07,3.0,2.0,-2.12,25030,1925-06-22,-0.3263057433566874,14150,'drive',Long,high,improve,0.3263057433566874
Douglas,1.366824870448022,0.0,-0.30905073288369383,0.74,0.0,0.64,0.03,Sales,0.6254579452670004,-1.37,0.0,1.0611689986232387,267.0,'a',0.07,3.0,5.0,-1.37,17295,1920-05-23,-0.6254579452670004,64909,'teach',Rubio,low,instead,0.6254579452670004
Richard,1.4862154560990752,0.0,-0.15552772418556834,0.91,0.0,1.0,0.03,Marketing,0.4885319010895751,-1.49,0.0,1.101279613044557,211.0,'who',0.07,4.0,3.0,-1.49,16989,1949-05-10,-0.4885319010895751,34131,'mention',Johnson,low,everybody,0.4885319010895751
Nicolas,0.3278443090397837,1.0,nan,0.63,0.0,0.66,0.03,,1.860923336305519,-0.33,0.0,0.7241577614352149,237.0,'smile',0.07,4.0,2.0,-0.33,10678,1965-03-04,-1.860923336305519,68299,'far',Jackson,medium,lay,1.860923336305519
Tony,1.5718559349663215,0.0,-2.3087912944238838,0.22,0.0,0.7,0.03,Manager,2.107868981922504,1.57,0.0,-0.44432253049125725,159.0,'cultural',0.07,4.0,5.0,1.57,20870,1983-05-08,-2.107868981922504,25207,'data',Singh,low,trial,2.107868981922504
Alison,2.1135989097166545,0.0,0.7061083886681336,0.58,0.0,0.77,0.03,,-0.28924634665651006,-2.11,0.0,1.2960675928342422,140.0,'benefit',0.07,4.0,3.0,-2.11,22817,1997-01-02,-0.28924634665651006,68185,'cup',Sellers,low,fear,0.28924634665651006
Nicole,1.7183915430546461,0.0,0.21964785979258147,0.8,0.0,0.83,0.03,Customer Service,0.1409456385248954,-1.72,1.0,1.1569630804915116,211.0,'station',0.07,2.0,3.0,-1.72,19619,1952-01-30,-0.1409456385248954,29641,'rise',Schwartz,low,bed,0.1409456385248954
Jonathan,0.8324895264042349,0.0,-0.7271732233871907,0.14,0.0,0.73,0.03,,0.5904476652079962,0.83,0.0,-0.37968510629911434,237.0,'four',0.07,6.0,5.0,0.83,17864,1974-10-14,-0.5904476652079962,19606,'show',Nelson,medium,charge,0.5904476652079962
Joshua,0.775951618930536,0.0,-0.9028447019239448,0.87,0.0,0.84,0.03,,1.1269591714233618,-0.78,1.0,0.8143050900811635,231.0,'within',0.07,5.0,5.0,-0.78,18276,1935-07-07,-1.1269591714233618,57375,'focus',Adams,low,face,1.1269591714233618
Gabriella,1.4222139244962027,0.0,-1.4892744291147568,0.68,0.0,0.92,0.03,Customer Service,1.2708001837126879,1.42,0.0,-0.5767082717757545,209.0,'western',0.07,4.0,6.0,1.42,28915,1987-02-09,-1.2708001837126879,25924,'serious',Garner,low,front,1.2708001837126879
Jennifer,1.098313931970401,0.0,-0.6597724705054651,0.91,0.0,1.0,0.03,Sales,0.9391860209203018,-1.1,1.0,0.9725461873006678,251.0,'write',0.07,5.0,6.0,-1.1,16617,1924-02-13,-0.9391860209203018,36465,'serious',Warren,low,sense,0.9391860209203018
Warren,1.6961403243090372,0.0,-0.8876642060308957,0.66,0.0,0.96,0.03,Sales,0.5727711056932657,1.7,0.0,-0.9465737278474274,175.0,'believe',0.07,3.0,2.0,1.7,13272,1983-12-29,-0.5727711056932657,77533,'usually',King,low,measure,0.5727711056932657
Brian,0.39203562781439505,1.0,-1.5272666804508919,0.53,0.0,0.92,0.03,Inventory Management,1.7060082911784376,-0.39,0.0,0.7234086203519023,223.0,'close',0.07,4.0,3.0,-0.39,25230,1920-09-03,-1.7060082911784376,30965,'old',Brown,low,occur,1.7060082911784376
Louis,0.5102822753266668,0.0,-1.4671877806001046,0.42,0.0,0.48,0.03,Sales,1.6679925861865683,-0.51,1.0,0.7899248136893459,140.0,'prepare',0.07,2.0,3.0,-0.51,29835,1919-12-03,-1.6679925861865683,64702,'firm',Ortiz,low,tree,1.6679925861865683
Shawn,0.2137409811832891,0.0,-1.7376250085668576,0.63,0.0,0.86,0.03,Customer Service,1.8904246693534366,-0.21,0.0,0.6580007890230493,269.0,'language',0.07,3.0,4.0,-0.21,21689,1919-06-04,-1.8904246693534366,10394,'big',Burgess,low,court,1.8904246693534366
Alexandra,1.9378099462736542,0.0,-2.589773662593043,0.77,0.0,0.75,0.03,Sales,2.3263826941309826,1.94,0.0,-0.622493709446089,246.0,'better',0.07,6.0,6.0,1.94,11292,1989-01-06,-2.3263826941309826,41390,'matter',Delacruz,low,may,2.3263826941309826
Susan,1.324175298665837,0.0,-2.6515389708118566,0.92,0.0,0.63,0.03,Inventory Management,2.5254902908339227,1.32,0.0,-0.16850645006646667,156.0,'image',0.07,5.0,3.0,1.32,13590,1955-10-07,-2.5254902908339227,13677,'reality',Jones,medium,break,2.5254902908339227
Maxwell,0.6924138883355616,0.0,-1.8408320224599353,0.89,0.0,0.79,0.03,Customer Service,1.8027090457015176,0.69,1.0,0.04422675835796466,149.0,'budget',0.07,3.0,2.0,0.69,27285,1915-10-14,-1.8027090457015176,73720,'usually',Fisher,medium,community,1.8027090457015176
Jessica,1.075130945836702,0.0,-3.4602242734093824,0.42,0.0,0.75,0.03,Manager,nan,1.08,1.0,0.2439967002690445,218.0,nan,0.07,3.0,4.0,1.08,21681,2018-01-31,-3.437843696552835,93650,'themselves',Pittman,medium,real,3.437843696552835
Gina,0.7198049269012088,0.0,-0.7515531256000839,0.78,0.0,0.9,0.03,Customer Service,0.6408457817864466,0.72,0.0,-0.2925197016003558,238.0,'side',0.07,4.0,2.0,0.72,14217,2020-05-28,-0.6408457817864466,87689,'themselves',Parks,low,practice,0.6408457817864466
Alison,0.3952209788925479,0.0,-1.3774893753820183,0.79,0.0,0.75,0.03,,1.5477636459439315,-0.4,0.0,0.6820447834562214,221.0,'hour',0.07,2.0,3.0,-0.4,22132,1924-08-19,-1.5477636459439315,17839,'six',Sexton,low,strategy,1.5477636459439315
Meghan,0.892347501517772,0.0,nan,0.43,0.0,0.41,0.03,,0.01763651379546216,0.89,0.0,-0.5758703987413261,190.0,'you',0.07,4.0,3.0,0.89,11565,2004-05-27,-0.01763651379546216,16285,'need',Bryant,medium,like,0.01763651379546216
Lisa,1.6564281520363955,0.0,0.27877338658158335,0.44,0.0,0.56,0.03,,0.06471683955871999,-1.66,0.0,1.0957151354326573,123.0,'phone',0.07,3.0,3.0,-1.66,17620,1926-10-18,-0.06471683955871999,87916,'need',Wilson,medium,under,0.06471683955871999
Tonya,1.6196289733581546,0.0,-1.024281528115248,0.37,0.0,0.47,0.03,Inventory Management,0.7343977772796546,1.62,1.0,-0.8524174671895928,141.0,'commercial',0.07,2.0,3.0,1.62,25418,1960-02-25,-0.7343977772796546,05838,'lose',Porter,medium,blood,0.7343977772796546
Carlos,0.6667607895905905,0.0,-2.073500025955667,0.5,0.0,0.63,0.03,Sales,2.0551911626571546,0.67,0.0,0.13022510082027913,229.0,'four',0.07,4.0,4.0,0.67,12218,1966-11-14,-2.0551911626571546,91564,'mention',Leach,low,evidence,2.0551911626571546
Jesse,0.3020245482866317,1.0,-1.9598339169334582,0.39,0.0,0.52,0.03,Marketing,2.0139620324903853,0.3,1.0,nan,148.0,'conference',0.07,2.0,3.0,0.3,25941,1911-02-22,-2.0139620324903853,46177,'matter',Shaffer,low,decide,2.0139620324903853
Travis,0.6878111791216197,0.0,-1.0384124127486276,0.49,0.0,0.83,0.03,Inventory Management,1.2516336890096444,-0.69,0.0,0.7911681437205553,194.0,'accept',0.07,4.0,3.0,-0.69,29278,1989-10-17,-1.2516336890096444,13149,'four',Gutierrez,medium,between,1.2516336890096444
Brett,0.4783496427486926,0.0,-1.4240472216974773,0.68,0.0,1.0,0.03,,1.615262964751218,-0.48,0.0,0.7546702516632804,205.0,'beautiful',0.07,3.0,4.0,-0.48,16100,1980-11-06,-1.615262964751218,31589,'human',Roberts,low,child,1.615262964751218
Dustin,1.1059980340010125,0.0,-0.8649260304626417,0.69,0.0,0.59,0.03,Inventory Management,0.6770934424749642,1.11,0.0,-0.5338922695312989,266.0,'them',0.07,4.0,4.0,1.11,14216,2014-05-13,-0.6770934424749642,31753,'become',Rivera,medium,know,0.6770934424749642
Aaron,0.07570492363109538,1.0,-2.100623301785098,0.66,0.0,0.89,0.03,Sales,2.212623423376238,0.08,0.0,0.5580792919090242,202.0,'give',0.07,3.0,3.0,0.08,28644,1969-05-16,-2.212623423376238,17526,'become',Moore,medium,voice,2.212623423376238
Amy,0.422036768437158,0.0,nan,0.23,0.0,0.88,0.03,Inventory Management,1.7217552685931483,-0.42,0.0,0.7472548183433786,201.0,'care',0.07,5.0,3.0,-0.42,10065,1973-08-06,-1.7217552685931483,04388,'southern',Medina,low,how,1.7217552685931483
Mary,1.0292936332019649,1.0,-1.4956109262263626,0.9,0.0,0.99,0.03,Inventory Management,1.363047831072631,1.03,0.0,-0.29568703445413097,259.0,'before',0.07,3.0,3.0,1.03,17146,1922-11-12,-1.363047831072631,97276,'social',Lee,medium,foreign,1.363047831072631
Samantha,1.7820907708960974,0.0,0.3845068935506814,0.77,0.0,0.89,0.03,Inventory Management,-0.020131625171697864,-1.78,1.0,1.1542022274647021,243.0,'city',0.07,5.0,5.0,-1.78,13349,1919-03-21,-0.020131625171697864,79416,'reality',Sims,low,risk,0.020131625171697864
Katherine,1.521686069951801,0.0,-0.13672132141700266,0.74,0.0,0.57,0.03,,-0.18612892633829436,1.52,0.0,-1.0413558090080834,172.0,'simple',0.07,4.0,3.0,1.52,18049,1945-07-20,-0.18612892633829436,22489,'drive',Stone,high,seat,0.18612892633829436
Maria,0.5909244908004874,0.0,-1.3436510197146427,0.11,0.0,0.8,0.03,,1.5544527802613741,-0.59,1.0,0.8112385337005803,256.0,'level',0.07,6.0,4.0,-0.59,15933,2002-03-29,-1.5544527802613741,18075,'past',Booth,low,indeed,1.5544527802613741
Diana,0.6217723437188072,0.0,nan,0.95,0.0,0.98,0.03,,2.9016947474238375,0.62,0.0,0.39185993917780104,155.0,'per',0.07,5.0,3.0,0.62,20497,2004-08-01,-2.9016947474238375,05583,'firm',Glenn,low,staff,2.9016947474238375
Lindsey,1.8519379908184912,0.0,0.43595720364510876,0.44,0.0,0.45,0.03,Sales,-0.05952568853543294,-1.85,1.0,1.188843260347114,156.0,'opportunity',0.07,2.0,3.0,-1.85,18642,2006-12-19,-0.05952568853543294,19186,'focus',Juarez,medium,because,0.05952568853543294
David,1.8218292552566737,0.0,0.15587066204836267,0.79,0.0,0.59,0.03,Manager,0.2311379742238554,-1.82,0.0,1.2490340669798754,187.0,'return',0.07,4.0,2.0,-1.82,21127,1927-07-28,-0.2311379742238554,46626,'light',Vargas,low,receive,0.2311379742238554
Wesley,0.6495326405357633,0.0,-1.2891820826685356,0.67,0.0,0.72,0.03,Manager,1.5094091526676081,-0.65,0.0,0.8370147803247241,134.0,'several',0.07,2.0,10.0,-0.65,13699,1937-08-16,-1.5094091526676081,84451,'reality',Sullivan,high,choice,1.5094091526676081
Leslie,1.5864749323246512,0.0,nan,0.74,0.0,0.76,0.03,Manager,0.18744796582227485,-1.59,0.0,1.083880411561891,244.0,'stand',0.07,3.0,3.0,-1.59,16340,1969-08-19,-0.18744796582227485,18894,'old',Flores,medium,outside,0.18744796582227485
Rebecca,1.537636248313658,0.0,-1.0988269134833228,0.37,0.0,0.46,0.03,,0.8313491568186819,1.54,0.0,-0.7724469004893612,173.0,'like',0.07,3.0,6.0,1.54,17480,1999-09-06,-0.8313491568186819,34609,'data',Downs,medium,guess,0.8313491568186819
Erik,1.2146455959529685,0.0,-0.5065970881544503,0.86,0.0,0.95,0.03,Sales,0.8019630552797832,-1.21,1.0,1.0105846501395923,238.0,'single',0.07,4.0,5.0,-1.21,22253,1959-02-13,-0.8019630552797832,77333,'professional',Wright,medium,tough,0.8019630552797832
Derrick,0.4577801500275359,1.0,-1.4851052933291022,0.96,0.0,0.55,0.03,Sales,1.476296103324828,0.46,0.0,0.10732147744217865,225.0,'interest',0.07,3.0,4.0,0.46,24814,1956-09-19,-1.476296103324828,40504,'pay',Kim,medium,sing,1.476296103324828
Amanda,2.2726205045588745,0.0,0.9624084289719791,0.56,0.0,0.63,0.03,Marketing,nan,2.27,0.0,-1.8950596602947278,204.0,'lawyer',0.07,4.0,4.0,2.27,17282,1991-02-11,-1.5159330411556722,38400,'professional',Flores,medium,kitchen,1.5159330411556722
